Developer,Repo Name,Number of Stars
openservicemesh,osm,722
simdjson,simdjson,"11,048"
aristocratos,bpytop,688
MicrosoftDocs,azure-docs,"4,239"
iGhibli,iOS-DeviceSupport,"4,236"
aboelkassem,educative.io_courses,555
lensapp,lens,"7,104"
expo,expo,"11,010"
TheAlgorithms,Javascript,"4,014"
paritytech,substrate,"2,662"
ubisoft,mixer,392
taosdata,TDengine,"12,298"
viraptor,reverse-interview,"14,808"
formulahendry,955.WLB,"19,911"
ultralytics,yolov5,"3,843"
guilhermecapitao,proffy-discovery,39
PCrnjak,Faze4-Robotic-arm,108
google,mediapipe,"8,028"
xamarin,XamarinCommunityToolkit,426
pybind,pybind11,"7,629"
sdmg15,Best-websites-a-programmer-should-visit,"32,667"
apache,pulsar,"6,337"
ageron,handson-ml2,"9,291"
KhoaDauTay,learn-python,44
helm,charts,"13,989"
